Label,SMS,lenght,Tokens,lemmatized_text,SMS_without_stopwords,processed_text
0,"gone until jurong point, crazy.. available only in bugis no great world la e buffet... cine there got amore what...",111,"['gone', 'until', 'jurong', 'point', ',', 'crazy', '..', 'available', 'only', 'in', 'bugis', 'no', 'great', 'world', 'la', 'e', 'buffet', '...', 'cine', 'there', 'got', 'amore', 'what', '...']","['go', 'until', 'jurong', 'point', ',', 'crazy', '..', 'available', 'only', 'in', 'bugis', 'no', 'great', 'world', 'la', 'e', 'buffet', '...', 'cine', 'there', 'get', 'amore', 'what', '...']","gone jurong point, crazy.. available bugis great world la e buffet... cine got amore what...","gone until jurong point, crazy.. available only in bugis no great world la e buffet... cine there got amore what..."
0,ok lar... joking wif you oni...,29,"['ok', 'lar', '...', 'joking', 'wif', 'you', 'oni', '...']","['ok', 'lar', '...', 'joking', 'wif', 'you', 'oni', '...']",ok lar... joking wif oni...,ok lar... joking wif you oni...
1,free entry in to a weekly composition to win fa cup final tkts 21st may 2005. text fa to 87121 to receive entry question(std text rate)tandcis apply 08452810075over18is,155,"['free', 'entry', 'in', 'to', 'a', 'weekly', 'composition', 'to', 'win', 'fa', 'cup', 'final', 'tkts', '21st', 'may', '2005.', 'text', 'fa', 'to', '87121', 'to', 'receive', 'entry', 'question', '(', 'std', 'text', 'rate', ')', 'tandcis', 'apply', '08452810075over18is']","['free', 'entry', 'in', 'to', 'a', 'weekly', 'composition', 'to', 'win', 'fa', 'cup', 'final', 'tkts', '21st', 'may', '2005.', 'text', 'fa', 'to', '87121', 'to', 'receive', 'entry', 'question', '(', 'std', 'text', 'rate', ')', 'tandcis', 'apply', '08452810075over18is']",free entry weekly composition win fa cup final tkts 21st may 2005. text fa 87121 receive entry question(std text rate)tandcis apply 08452810075over18is,free entry in to a weekly composition to win fa cup final tkts 21st may 2005. text fa to 87121 to receive entry question(std text rate)tandcis apply 08452810075over18is
0,you dun say so early hour... you c already then say...,49,"['you', 'dun', 'say', 'so', 'early', 'hour', '...', 'you', 'c', 'already', 'then', 'say', '...']","['you', 'dun', 'say', 'so', 'early', 'hour', '...', 'you', 'c', 'already', 'then', 'say', '...']",dun say early hour... c already say...,you dun say so early hour... you c already then say...
0,"nah i do not think he goes to university of south florida, he lives around here though",61,"['nah', 'i', 'do', 'not', 'think', 'he', 'goes', 'to', 'university', 'of', 'south', 'florida', ',', 'he', 'lives', 'around', 'here', 'though']","['nah', 'i', 'do', 'not', 'think', 'he', 'go', 'to', 'university', 'of', 'south', 'florida', ',', 'he', 'life', 'around', 'here', 'though']","nah think goes university south florida, lives around though","nah i do not think he goes to university of south florida, he lives around here though"
1,"freemsg hey there darling it is been 3 weekis now and no word back! i would like some fun you up for it still? tb ok! xxx std chgs to send, £one.50 to rcv",147,"['freemsg', 'hey', 'there', 'darling', 'it', 'is', 'been', '3', 'weekis', 'now', 'and', 'no', 'word', 'back', '!', 'i', 'would', 'like', 'some', 'fun', 'you', 'up', 'for', 'it', 'still', '?', 'tb', 'ok', '!', 'xxx', 'std', 'chgs', 'to', 'send', ',', '£one.50', 'to', 'rcv']","['freemsg', 'hey', 'there', 'darling', 'it', 'be', 'be', '3', 'weekis', 'now', 'and', 'no', 'word', 'back', '!', 'i', 'would', 'like', 'some', 'fun', 'you', 'up', 'for', 'it', 'still', '?', 'tb', 'ok', '!', 'xxx', 'std', 'chgs', 'to', 'send', ',', '£one.50', 'to', 'rcv']","freemsg hey darling 3 weekis word back! would like fun still? tb ok! xxx std chgs send, £one.50 rcv","freemsg hey there darling it is been 3 weekis now and no word back! i would like some fun you up for it still? tb ok! xxx std chgs to send, £one.50 to rcv"
0,even my brother is not like to speak with me. they treat me like aids patent.,77,"['even', 'my', 'brother', 'is', 'not', 'like', 'to', 'speak', 'with', 'me', '.', 'they', 'treat', 'me', 'like', 'aids', 'patent', '.']","['even', 'my', 'brother', 'be', 'not', 'like', 'to', 'speak', 'with', 'me', '.', 'they', 'treat', 'me', 'like', 'aid', 'patent', '.']",even brother like speak me. treat like aids patent.,even my brother is not like to speak with me. they treat me like aids patent.
0,as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune,160,"['as', 'per', 'your', 'request', ""'melle"", 'melle', '(', 'oru', 'minnaminunginte', 'nurungu', 'vettam', ')', ""'"", 'has', 'been', 'set', 'as', 'your', 'callertune', 'for', 'all', 'callers', '.', 'press', '*', '9', 'to', 'copy', 'your', 'friends', 'callertune']","['a', 'per', 'your', 'request', ""'melle"", 'melle', '(', 'oru', 'minnaminunginte', 'nurungu', 'vettam', ')', ""'"", 'have', 'be', 'set', 'a', 'your', 'callertune', 'for', 'all', 'caller', '.', 'press', '*', '9', 'to', 'copy', 'your', 'friend', 'callertune']",per request 'melle melle (oru minnaminunginte nurungu vettam)' set callertune callers. press *9 copy friends callertune,as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune
1,winner!! as a valued network customer you have been selected to receivea £900 prize reward! to claim call 09061701461. claim code kl341. valid 12 hours only.,157,"['winner', '!', '!', 'as', 'a', 'valued', 'network', 'customer', 'you', 'have', 'been', 'selected', 'to', 'receivea', '£900', 'prize', 'reward', '!', 'to', 'claim', 'call', '09061701461.', 'claim', 'code', 'kl341', '.', 'valid', '12', 'hours', 'only', '.']","['winner', '!', '!', 'a', 'a', 'value', 'network', 'customer', 'you', 'have', 'be', 'select', 'to', 'receivea', '£900', 'prize', 'reward', '!', 'to', 'claim', 'call', '09061701461.', 'claim', 'code', 'kl341', '.', 'valid', '12', 'hour', 'only', '.']",winner!! valued network customer selected receivea £900 prize reward! claim call 09061701461. claim code kl341. valid 12 hours only.,winner!! as a valued network customer you have been selected to receivea £900 prize reward! to claim call 09061701461. claim code kl341. valid 12 hours only.
1,had your mobile 11 months or more? you r entitled to update to the latest colour mobiles with camera for free! call the mobile update co free on 08002986030,154,"['had', 'your', 'mobile', '11', 'months', 'or', 'more', '?', 'you', 'r', 'entitled', 'to', 'update', 'to', 'the', 'latest', 'colour', 'mobiles', 'with', 'camera', 'for', 'free', '!', 'call', 'the', 'mobile', 'update', 'co', 'free', 'on', '08002986030']","['have', 'your', 'mobile', '11', 'month', 'or', 'more', '?', 'you', 'r', 'entitle', 'to', 'update', 'to', 'the', 'late', 'colour', 'mobile', 'with', 'camera', 'for', 'free', '!', 'call', 'the', 'mobile', 'update', 'co', 'free', 'on', '08002986030']",mobile 11 months more? r entitled update latest colour mobiles camera free! call mobile update co free 08002986030,had your mobile 11 months or more? you r entitled to update to the latest colour mobiles with camera for free! call the mobile update co free on 08002986030
